Land,Klicks,Impressionen,CTR,Position
Deutschland,122,514,23.74%,10.67
Österreich,7,31,22.58%,14.71
Schweiz,5,15,33.33%,14.8
Italien,1,3,33.33%,9.33
Luxemburg,1,2,50%,2
Türkei,1,1,100%,1
USA,0,21,0%,5.76
Spanien,0,4,0%,48.75
Indien,0,2,0%,5
Niederlande,0,2,0%,40
Kanada,0,1,0%,1
Kambodscha,0,1,0%,2
Frankreich,0,1,0%,3
Bulgarien,0,1,0%,6
Sri Lanka,0,1,0%,7
Kroatien,0,1,0%,9
Philippinen,0,1,0%,11
Ukraine,0,1,0%,69
Norwegen,0,1,0%,75
